;purchease_cat;rmw_cat;description
1922;Epicerie Sucrée;BOISSONS;TRIANON X2
1923;Entretien;BOISSONS;OKAY COLLECT ET 12
1924;Maison;BOISSONS;FOIRE GADGETS MENA
1925;Viande;BOISSONS;48 DOS ARABICA CRF
1926;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1927;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURE 1/2SEL RDF
1928;Entretien;BOISSONS;CIABATTA 250G
1929;Fruits;BOISSONS;CITRON JNE PIECE
1930;Petit-Déjeuner;BOISSONS;CONFITURE FRAISE
1931;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1932;Entretien;BOISSONS;MASCARPONE
1933;Entretien;BOISSONS;X4 ET 3P DECO ULTR
1934;Epicerie Sucrée;BOISSONS;PACK 5BAR OVOMAL
1935;Épicerie Salée;BOISSONS;EPICERIE 1
1936;Boissons;BOISSONS;1 COCA-COLA (M)
1937;Boissons;BOISSONS;COCA COLA
1938;Boissons;BOISSONS;1 SAN PELLEGRINO 50CL
1939;Bébé;EPICERIE_SALEE;E+P GOURMAND
1940;Viande;BOISSONS;BUFFET PLAT
1941;Viande;BOISSONS;Diesel 4 €
1942;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1943;Boissons;BOISSONS;Eau de source
1944;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1945;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1946;Boissons;BOISSONS;1 5L LIMONADE CRF
1947;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
1948;Produits Laitiers, Lait, Oeufs;BOISSONS;200G STE MAURE
1949;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1950;Viande;BOISSONS;6T JAMB SUP AC PSA
1951;Boissons;VIANDE;75CL GROS PLANT
1952;Légumes;FRUITS;AVOCAT PIECE
1953;Viande;BOISSONS;COTE PC X2
1954;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1955;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1956;Fruits;BOISSONS;PRUNE JAUNE VRAC
1957;Viande;BOISSONS;RABLE LAPIN X4
1958;Viande;BOISSONS;SAUCISSE SECHE CBE
1959;Textile;BOISSONS;BARETTE ULT-CONFOR
1960;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
1961;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1962;Boissons;BOISSONS;ABV BLANC 1L
1963;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1964;Epicerie Sucrée;BOISSONS;SUCRALOSE TABLETS
1965;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1966;Boissons;BOISSONS;Eau de source
1967;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1968;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1969;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1970;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1971;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1972;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1973;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1974;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1975;Viande;VIANDE;JAMBON SEC ITALIEN
1976;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1977;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1978;Entretien;EPICERIE_SALEE;SEL REG LAV VA
1979;Epicerie Sucrée;EPICERIE_SUCREE;CREME DE COCO
1980;Épicerie Salée;BOISSONS;PUREE PIMENTS
1981;Entretien;BOISSONS;CILLIT BANG PI
1982;Légumes;LEGUMES;POIS GOURMAND BQ
1983;Epicerie Sucrée;EPICERIE_SUCREE;CREME DE COCO
1984;Epicerie Sucrée;BOISSONS;MAO CROQUI 250
1985;Épicerie Salée;BOISSONS;BOUILLONS KUB
1986;Produits Laitiers, Lait, Oeufs;BOISSONS;BIO YAOURT VAN
1987;Epicerie Sucrée;FRUITS;COMP POM/FRAMB
1988;Bébé;BOISSONS;Divers 24 90 10 21
1989;Légumes;BOISSONS;Divers
1990;Entretien;EPICERIE_SUCREE;Papier aluminium structure renforcée
1991;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
1992;Boissons;EPICERIE_SALEE;1L PJ ORANGE MEDIT
1993;Fruits;EPICERIE_SUCREE;CLEMENTINE FEUILLE
1994;Épicerie Salée;EPICERIE_SUCREE;SCE PESTO TOMATES
1995;Épicerie Salée;EPICERIE_SALEE;Barilla Sauce  A Rechauffer Epicerie Non Allege Pesto Rosso Pot Verre 1 X 200 Gr
1996;Épicerie Salée;EPICERIE_SUCREE;GNOCCHI A POELER 3
1997;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MONOP COMTE 250G
1998;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;VIVA BK1L 
1999;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;SLA PERLE DE LAIT
2000;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;SLA PERLE DE LAIT
2001;Épicerie Salée;EPICERIE_SUCREE;1KG SPAGHETTI QS
2002;Épicerie Salée;EPICERIE_SUCREE;90G NOUILLES TERIY
2003;Plats préparés;PLAT_PREPARE;67GNOUIL POULET TE
2004;Plats préparés;PLAT_PREPARE;67GNOUIL POULET TE
2005;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
2006;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
2007;Épicerie Salée;EPICERIE_SALEE;250G RIZ EXPRESS
2008;Entretien;EPICERIE_SUCREE;MX FILM ETIRAB2EN1
2009;Épicerie Salée;EPICERIE_SALEE;1KG RIZ LG BLANCHI
2010;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
2011;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
2012;Légumes;EPICERIE_SUCREE;BGIEFUMEURBORDEAUX
2013;Légumes;EPICERIE_SUCREE;BGIEFUMEMEURBORDEAUX
2014;Viande;EPICERIE_SUCREE;FG CND SO 30%MCX 3
2015;Viande;EPICERIE_SUCREE;FG CND SO 30%MCX 3
2016;Epicerie Sucrée;BOULANGERIE;Les Boudoirs Brossard
2017;Epicerie Sucrée;BOULANGERIE;Les Boudoirs Brossard
2018;Epicerie Sucrée;EPICERIE_SUCREE;LT4 COMPOTE POMME
2019;Epicerie Sucrée;FRUITS;4XCOMPOTE POM/P BT
2020;Epicerie Sucrée;FRUITS;4X100G COMPTE POM
2021;Petit-Déjeuner;EPICERIE_SALEE;CONF FRAISE MPX
2022;Épicerie Salée;EPICERIE_SALEE;Huile de tournesol, naturellement riche en vitamine E, pour friture et assaisonnement
2023;Epicerie Sucrée;PETIT_DEJEUNER;450G POUDRE CACAO
2024;Boissons;EPICERIE_SUCREE;1L PASTIS MARSEILL
2025;Boissons;EPICERIE_SALEE;ABV BLANC 1L
2026;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2027;Poissonnerie;POISSONNERIE;DOS CABILLAUD BQ
2028;Viande;EPICERIE_SUCREE;PATE EN CROUTE
2029;Viande;PLAT_PREPARE;POULET FEMIER JAUN
2030;Viande;FRUITS;SAUCISSE SECHE CBE
2031;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
2032;Viande;EPICERIE_SUCREE;!SAUCISSES COCKTAIL NATURE 450G
2033;Viande;HYGIENE_BEAUTE;LOT 2 GDS LARDONS FUMES +1 GT
2034;Viande;EPICERIE_SUCREE;PATE EN CROUTE 450G S/AZAY
2035;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLES 600G
2036;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN OR 250G
2037;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;OEUFS FRAIS MOYEN X12
2038;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;CREME FRAICHE 30 CL
2039;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
2040;Fruits;EPICERIE_SUCREE;POMME ROUGE
2041;Boulangerie;EPICERIE_SUCREE;BAGUETTE 250G
2042;Épicerie Salée;PRODUITS_SURGELES;FEUILLETES SURG BLINI 475G
2043;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
2044;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
2045;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;BRIQUETTE CH'TI
2046;Produits Surgelés;EPICERIE_SUCREE;PAELLA TRADITIONNELLE
2047;Plats préparés;EPICERIE_SUCREE;SALADE PDT HARENG 2 5KG
2048;Viande;EPICERIE_SUCREE;SAUCISSON CHEVAL
2049;Plats préparés;VIANDE;OEUF POCHE AU JAMBON 90G
2050;Épicerie Salée;EPICERIE_SALEE;FONDUE POIREAUX JAMBON
2051;Plats préparés;EPICERIE_SUCREE;SALADE DE PERLES OCEANES
2052;Épicerie Salée;EPICERIE_SUCREE;X *HARICOTS VERTS EXF N/J 4/4
2053;Entretien;EPICERIE_SUCREE;48 DOSETTES CLASSIQUE 336G
2054;Boissons;EPICERIE_SUCREE;RHUM ARRANG CHATEL LETCHI
2055;Boissons;EPICERIE_SALEE;X PASTIS SIGALE 45D 1L ECO+
2056;Boissons;EPICERIE_SALEE;X BIANCO GILDO ECO+ 1L
2057;Boissons;PRODUITS_LAITIERS_LAIT_OEUFS;X *JEAN'S COLA PET 150CL
2058;Boissons;FRUITS;X *P/JUS D'ORANGE BRICK 1L
2059;Hygiène et Beauté;EPICERIE_SUCREE;DCH PETALE ORIENT MANAV 100ML
2060;Maison;EPICERIE_SUCREE;MULTIP ALLCIG 2 SORT 12V/24V
2061;Épicerie Salée;BOISSONS;190G SCE PESTO ROS
2062;Epicerie Sucrée;BOISSONS;250G CAPPELL JBN C
2063;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
2064;Epicerie Sucrée;BOISSONS;MOELLEUX CHOCO
2065;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2066;Viande;PLAT_PREPARE;FILET DE POULET PD
2067;Produits Laitiers, Lait, Oeufs;BOISSONS;PARMIGIANO REGGIAN
2068;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
2069;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
2070;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
2071;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
2072;Épicerie Salée;BOISSONS;1/2 OLIVE FARCIES
2073;Épicerie Salée;PLAT_PREPARE;100G CRACKERS FORM
2074;Viande;EPICERIE_SALEE;10TR BACON SEL RED
2075;Epicerie Sucrée;EPICERIE_SUCREE;Twix Format XL x12
2076;Viande;BOISSONS;4TR JAMBON SUP AC
2077;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2078;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
2079;Boulangerie;BOISSONS;BAGUETTE CAMPAGNAR
2080;Épicerie Salée;EPICERIE_SALEE;BLINI COCKTAIL X16
2081;Fruits;BOISSONS;CLEMENTINE FEUILLE
2082;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;P´tit gourmand mini chocolat au lait
2083;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
2084;Viande;BOISSONS;GIGOT*** TR x1 CRF
2085;Viande;BOISSONS;GIGOT*** TR x1 CRF
2086;Légumes;BOISSONS;PANACH JEUNE POUSS
2087;Viande;BOISSONS;PC ROTI FILET 500G
2088;Légumes;LEGUMES;PCE CHOU VERT FRIS
2089;Épicerie Salée;LEGUMES;PRINGLES CREAM/OIG
2090;Viande;BOISSONS;SAUCISSE MORTEAU
2091;Légumes;BOISSONS;ST 1KG CAROTTE FQC
2092;Poissonnerie;EPICERIE_SALEE;Tarama aux oeufs de cabillaud
2093;Produits Laitiers, Lait, Oeufs;BOISSONS;TOMME DE MONTAGNE
2094;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2095;Boissons;BOISSONS;Eau de source
2096;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2097;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2098;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2099;Boissons;BOISSONS;Eau de source
2100;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2101;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2102;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2103;Boissons;BOISSONS;Eau de source
2104;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2105;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2106;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
2107;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2108;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
2109;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2110;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
2111;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
2112;Viande;VIANDE;JAMBON SEC ITALIEN
2113;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
2114;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
2115;Viande;BOISSONS;HERTA LARDONS FUMES
2116;Viande;BOISSONS;HERTA LARDONS FUMES
2117;Viande;LEGUMES;Ste marguerite e.gaz.pet 1l25
2118;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6X1 5
2119;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
2120;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
2121;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
2122;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT L
2123;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2124;Boissons;BOISSONS;Eau de source
2125;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2126;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2127;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2128;Boissons;BOISSONS;Eau de source
2129;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2130;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2131;Boissons;BOISSONS;1 5L LIMONADE CRF
2132;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
2133;Produits Laitiers, Lait, Oeufs;BOISSONS;200G STE MAURE
2134;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2135;Viande;BOISSONS;6T JAMB SUP AC PSA
2136;Boissons;VIANDE;75CL GROS PLANT
2137;Légumes;FRUITS;AVOCAT PIECE
2138;Viande;BOISSONS;COTE PC X2
2139;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
2140;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
2141;Fruits;BOISSONS;PRUNE JAUNE VRAC
2142;Viande;BOISSONS;RABLE LAPIN X4
2143;Viande;BOISSONS;SAUCISSE SECHE CBE
2144;Textile;BOISSONS;BARETTE ULT-CONFOR
2145;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
2146;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2147;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
2148;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2149;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
2150;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
2151;Viande;VIANDE;JAMBON SEC ITALIEN
2152;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
2153;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
2154;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2155;Boissons;BOISSONS;Eau de source
2156;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2157;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2158;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2159;Boissons;BOISSONS;Eau de source
2160;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2161;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2162;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
2163;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
2164;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
2165;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
2166;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
2167;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
2168;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
2169;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
2170;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
2171;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
2172;Hygiène et Beauté;EPICERIE_SUCREE;BEAUTE / SANTE / HYGIENE
2173;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;250G PL BEUR DS PR
2174;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
2175;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2176;Entretien;BOISSONS;Persil ciselé surgelé
2177;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2178;Boulangerie;BOISSONS;CIABATTA 250G
2179;Épicerie Salée;LEGUMES;CONFIT AIL
2180;Epicerie Sucrée;BOISSONS;MACARON PISTACHE
2181;Epicerie Sucrée;BOISSONS;TRIANON X2
2182;Entretien;BOISSONS;OKAY COLLECT ET 12
2183;Fruits;BOISSONS;FOIRE GADGETS MENA
2184;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
2185;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
2186;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
2187;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2188;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
2189;Boissons;EPICERIE_SALEE;75CL GROS PLANT
2190;Légumes;FRUITS;AVOCAT PIECE
2191;Viande;EPICERIE_SUCREE;COTE PC X2
2192;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
2193;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
2194;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
2195;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
2196;Viande;FRUITS;SAUCISSE SECHE CBE
2197;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
2198;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;250G PL BEUR DS PR
2199;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
2200;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2201;Entretien;BOISSONS;Persil ciselé surgelé
2202;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2203;Boulangerie;BOISSONS;CIABATTA 250G
2204;Épicerie Salée;LEGUMES;CONFIT AIL
2205;Epicerie Sucrée;BOISSONS;MACARON PISTACHE
2206;Epicerie Sucrée;BOISSONS;TRIANON X2
2207;Entretien;BOISSONS;OKAY COLLECT ET 12
2208;Fruits;BOISSONS;FOIRE GADGETS MENA
2209;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
2210;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2211;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
2212;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2213;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
2214;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
2215;Viande;VIANDE;JAMBON SEC ITALIEN
2216;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
2217;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
2218;Maison;BOISSONS;SAC CABAS MATIERE RECYCLE
2219;Textile;BOISSONS;FEM LAURIS DERBY
2220;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
2221;Viande;VIANDE;EPAULE PORC SANS OS
2222;Loisirs;BOISSONS;IE DORS BIEN COL CLAUDINE
2223;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
2224;Maison;BOISSONS;IE DORS BIEN LAPIN/CHATON
2225;Maison;BOISSONS;IE DBIEN OURS/SOURIS/ELEPH
2226;Textile;BOISSONS;IE DOUDOUNE LIGHT CAPUCHE
2227;Textile;HYGIENE_BEAUTE;IE BODY US MC
2228;Textile;BOISSONS;IE X7 BODIES US ML
2229;Textile;BOISSONS;IE X7 BODIES US ML
2230;Textile;BOISSONS;IE LOT 7 BODIES US ML
2231;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
2232;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
2233;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS X3
2234;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
2235;Boissons;BOISSONS;Eau de source
2236;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
2237;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
2238;Boissons;HYGIENE_BEAUTE;PERRIER EAU MIN GAZ PET 6X
2239;Boissons;EPICERIE_SALEE;AUCHAN BIO PUR JUS D ORANG
2240;Boissons;EPICERIE_SALEE;AUCHAN BIO PUR JUS D ORANG
2241;Epicerie Sucrée;EPICERIE_SUCREE;DADDY SUCRES MORCEAUX ENVE
2242;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN ENVIRONNEMENT MOUCH
2243;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN ENVIRONNEMENT MOUCH
2244;Bébé;EPICERIE_SALEE;HIPP BIO MON PREMIER BISCU
2245;Produits Laitiers, Lait, Oeufs;FRUITS;AUCHAN YT 3INGRED BANAN 4X
2246;Bébé;EPICERIE_SALEE;HIPP BIO SAUCE TOMATE LEGU
2247;Bébé;EPICERIE_SALEE;HIPP BIO SAUCE TOMATE LEGU
2248;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN SEMOULE LAIT VANILL
2249;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;PERLE DE LAIT CITRON 4X125
2250;Bébé;EPICERIE_SUCREE;NESTLE P TIT BISCUIT DES 1
2251;Bébé;EPICERIE_SUCREE;BLEDISCUIT CROISSANCE AU
2252;Entretien;PRODUITS_SURGELES;AUCHAN ESSUIE TOUT DECORE
2253;Viande;PRODUITS_SURGELES;AUCHAN MORTADELLE PTE TR
2254;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;PERLE DE LAIT NATURE 4X125
2255;Produits Laitiers, Lait, Oeufs;FRUITS;B MAMAN YT CF FR FRAMB X8
2256;Épicerie Salée;EPICERIE_SALEE;AUCHAN BIO RIZ BASMATI 500
2257;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;EV BEURRE TENDRE DS 80% BQ
2258;Épicerie Salée;HYGIENE_BEAUTE;LUSTUCRU GNOCCHI POEL NAT
2259;Boulangerie;PETIT_DEJEUNER;PAIN DE MIE LONGUE
2260;Légumes;EPICERIE_SALEE;SALADE SUCRINE BIO PIECE
2261;Boulangerie;BOULANGERIE;EXTRA MOELLEUX COMPLET 280
2262;Bébé;EPICERIE_SALEE;HIPP BIO GALETTE DE RIZ A
2263;Épicerie Salée;PRODUITS_SURGELES;AUCHAN MEULE FRUITEE 250G
2264;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;AUCHAN COMTE AOP 250G
2265;Viande;EPICERIE_SALEE;FLEURY JB LE SUP TSR SC BB
2266;Boulangerie;EPICERIE_SUCREE;FOUGASSE ITALIENNE KG
2267;Fruits;FRUITS;RAISIN MUSCAT VRAC
2268;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;COMTE AOP 4MOIS D'AFFINAGE
2269;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;TOURNESOLS MOZZARELLA 250G
2270;Épicerie Salée;EPICERIE_SUCREE;CODE ATELIER INTERNE
2271;Entretien;PRODUITS_SURGELES;AUCHAN LAVETTE MICROFIBRE
2272;Fruits;EPICERIE_SUCREE;POIRE WILLIAM VERTE VRAC
2273;Fruits;EPICERIE_SUCREE;0* PECHE JAUNE VRAC
2274;Fruits;EPICERIE_SALEE;CITRON NON TRAITE X4
2275;Épicerie Salée;EPICERIE_SUCREE;STOEFFLER SPATZLES 300G+25
2276;Épicerie Salée;EPICERIE_SUCREE;GNOCCHI PDT 400G
2277;Viande;EPICERIE_SUCREE;SAUCISSON MILANO 100G
2278;Produits Laitiers, Lait, Oeufs;PLAT_PREPARE;830G BOEUF BOURGUI
2279;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
2280;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
2281;Boulangerie;VIANDE;BAGUETTE CARREFOUR
2282;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
2283;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
2284;Viande;VIANDE;JAMBON SEC ITALIEN
2285;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
2286;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
2287;Epicerie Sucrée;EPICERIE_SUCREE;100G NOIR POINTE
2288;Légumes;EPICERIE_SALEE;115G GAL MAIS BIO
2289;Épicerie Salée;BOISSONS;250G RAVIOLI FROM/AI
2290;Produits Laitiers, Lait, Oeufs;BOULANGERIE;4X115G LES 2 VACHE
2291;Fruits;BOISSONS;BIO NOIX VRAC
2292;Bébé;BOISSONS;BIO PATATE DOUCE VRA
2293;Épicerie Salée;BOISSONS;CHIPS NATURE BIO
2294;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
2295;Viande;EPICERIE_SUCREE;SAUCISSES COCKTAIL NATURE 450G
2296;Viande;HYGIENE_BEAUTE;LOT 2 GDS LARDONS FUMES +1 GT
